filename,filepath,class,test_block,granica_na,pozicija,tacno,predikcija,tacan_pogodak
frame550.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame550.jpg,tom,11,pocetku,blizu,tom,tom,True
frame551.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame551.jpg,tom,11,pocetku,blizu,tom,tom,True
frame552.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame552.jpg,tom,11,pocetku,blizu,tom,tom,True
frame553.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame553.jpg,tom,11,pocetku,blizu,tom,tom,True
frame554.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame554.jpg,neither,11,pocetku,blizu,neither,neither,True
frame595.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame595.jpg,neither,11,pocetku,daleko,neither,neither,True
frame596.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame596.jpg,neither,11,pocetku,daleko,neither,neither,True
frame597.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame597.jpg,neither,11,pocetku,daleko,neither,neither,True
frame598.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame598.jpg,neither,11,pocetku,daleko,neither,neither,True
frame599.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame599.jpg,neither,11,pocetku,daleko,neither,neither,True
frame595.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame595.jpg,neither,11,kraju,blizu,neither,neither,True
frame596.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame596.jpg,neither,11,kraju,blizu,neither,neither,True
frame597.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame597.jpg,neither,11,kraju,blizu,neither,neither,True
frame598.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame598.jpg,neither,11,kraju,blizu,neither,neither,True
frame599.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame599.jpg,neither,11,kraju,blizu,neither,neither,True
frame550.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame550.jpg,tom,11,kraju,daleko,tom,tom,True
frame551.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame551.jpg,tom,11,kraju,daleko,tom,tom,True
frame552.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame552.jpg,tom,11,kraju,daleko,tom,tom,True
frame553.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame553.jpg,tom,11,kraju,daleko,tom,tom,True
frame554.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame554.jpg,neither,11,kraju,daleko,neither,neither,True
frame800.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame800.jpg,jerry,16,pocetku,blizu,jerry,jerry,True
frame801.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame801.jpg,jerry,16,pocetku,blizu,jerry,neither,False
frame802.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame802.jpg,neither,16,pocetku,blizu,neither,neither,True
frame803.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame803.jpg,tom,16,pocetku,blizu,tom,tom,True
frame804.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame804.jpg,tom,16,pocetku,blizu,tom,tom,True
frame845.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame845.jpg,jerry,16,pocetku,daleko,jerry,jerry,True
frame846.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame846.jpg,jerry,16,pocetku,daleko,jerry,jerry,True
frame847.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame847.jpg,tom,16,pocetku,daleko,tom,tom,True
frame848.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame848.jpg,jerry,16,pocetku,daleko,jerry,jerry,True
frame849.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame849.jpg,tom,16,pocetku,daleko,tom,tom,True
frame945.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame945.jpg,neither,18,kraju,blizu,neither,neither,True
frame946.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame946.jpg,neither,18,kraju,blizu,neither,neither,True
frame947.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame947.jpg,neither,18,kraju,blizu,neither,neither,True
frame948.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame948.jpg,tom,18,kraju,blizu,tom,tom,True
frame949.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame949.jpg,tom,18,kraju,blizu,tom,tom,True
frame900.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame900.jpg,both,18,kraju,daleko,both,both,True
frame901.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame901.jpg,both,18,kraju,daleko,both,both,True
frame902.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame902.jpg,both,18,kraju,daleko,both,both,True
frame903.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame903.jpg,both,18,kraju,daleko,both,both,True
frame904.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame904.jpg,tom,18,kraju,daleko,tom,tom,True
frame1550.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1550.jpg,both,31,pocetku,blizu,both,both,True
frame1551.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1551.jpg,both,31,pocetku,blizu,both,both,True
frame1552.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1552.jpg,both,31,pocetku,blizu,both,jerry,False
frame1553.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1553.jpg,neither,31,pocetku,blizu,neither,jerry,False
frame1554.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1554.jpg,neither,31,pocetku,blizu,neither,jerry,False
frame1595.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1595.jpg,tom,31,pocetku,daleko,tom,tom,True
frame1596.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1596.jpg,neither,31,pocetku,daleko,neither,neither,True
frame1597.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1597.jpg,neither,31,pocetku,daleko,neither,neither,True
frame1598.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1598.jpg,neither,31,pocetku,daleko,neither,neither,True
frame1599.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame1599.jpg,jerry,31,pocetku,daleko,jerry,jerry,True
frame1595.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1595.jpg,tom,31,kraju,blizu,tom,tom,True
frame1596.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1596.jpg,neither,31,kraju,blizu,neither,neither,True
frame1597.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1597.jpg,neither,31,kraju,blizu,neither,neither,True
frame1598.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1598.jpg,neither,31,kraju,blizu,neither,neither,True
frame1599.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame1599.jpg,jerry,31,kraju,blizu,jerry,jerry,True
frame1550.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1550.jpg,both,31,kraju,daleko,both,both,True
frame1551.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1551.jpg,both,31,kraju,daleko,both,both,True
frame1552.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1552.jpg,both,31,kraju,daleko,both,jerry,False
frame1553.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1553.jpg,neither,31,kraju,daleko,neither,jerry,False
frame1554.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1554.jpg,neither,31,kraju,daleko,neither,jerry,False
frame1650.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame1650.jpg,jerry,33,pocetku,blizu,jerry,jerry,True
frame1651.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame1651.jpg,jerry,33,pocetku,blizu,jerry,jerry,True
frame1652.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1652.jpg,tom,33,pocetku,blizu,tom,tom,True
frame1653.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1653.jpg,both,33,pocetku,blizu,both,both,True
frame1654.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1654.jpg,both,33,pocetku,blizu,both,tom,False
frame1695.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1695.jpg,both,33,pocetku,daleko,both,both,True
frame1696.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1696.jpg,both,33,pocetku,daleko,both,both,True
frame1697.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1697.jpg,both,33,pocetku,daleko,both,tom,False
frame1698.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1698.jpg,both,33,pocetku,daleko,both,both,True
frame1699.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1699.jpg,both,33,pocetku,daleko,both,both,True
frame1695.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1695.jpg,both,33,kraju,blizu,both,both,True
frame1696.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1696.jpg,both,33,kraju,blizu,both,both,True
frame1697.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1697.jpg,both,33,kraju,blizu,both,tom,False
frame1698.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1698.jpg,both,33,kraju,blizu,both,both,True
frame1699.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1699.jpg,both,33,kraju,blizu,both,both,True
frame1650.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame1650.jpg,jerry,33,kraju,daleko,jerry,jerry,True
frame1651.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame1651.jpg,jerry,33,kraju,daleko,jerry,jerry,True
frame1652.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1652.jpg,tom,33,kraju,daleko,tom,tom,True
frame1653.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1653.jpg,both,33,kraju,daleko,both,both,True
frame1654.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_1/frame1654.jpg,both,33,kraju,daleko,both,tom,False
frame1850.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1850.jpg,tom,37,pocetku,blizu,tom,tom,True
frame1851.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1851.jpg,tom,37,pocetku,blizu,tom,tom,True
frame1852.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1852.jpg,tom,37,pocetku,blizu,tom,tom,True
frame1853.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1853.jpg,tom,37,pocetku,blizu,tom,tom,True
frame1854.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1854.jpg,tom,37,pocetku,blizu,tom,tom,True
frame1895.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame1895.jpg,jerry,37,pocetku,daleko,jerry,jerry,True
frame1896.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1896.jpg,tom,37,pocetku,daleko,tom,tom,True
frame1897.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame1897.jpg,tom,37,pocetku,daleko,tom,tom,True
frame1898.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1898.jpg,neither,37,pocetku,daleko,neither,neither,True
frame1899.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame1899.jpg,neither,37,pocetku,daleko,neither,neither,True
frame2200.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2200.jpg,jerry,44,pocetku,blizu,jerry,jerry,True
frame2201.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2201.jpg,jerry,44,pocetku,blizu,jerry,jerry,True
frame2202.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2202.jpg,jerry,44,pocetku,blizu,jerry,jerry,True
frame2203.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2203.jpg,jerry,44,pocetku,blizu,jerry,jerry,True
frame2204.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2204.jpg,jerry,44,pocetku,blizu,jerry,jerry,True
frame2245.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2245.jpg,jerry,44,pocetku,daleko,jerry,jerry,True
frame2246.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2246.jpg,jerry,44,pocetku,daleko,jerry,jerry,True
frame2247.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2247.jpg,neither,44,pocetku,daleko,neither,neither,True
frame2248.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame2248.jpg,tom,44,pocetku,daleko,tom,neither,False
frame2249.jpg,../data/tom_and_jerry/tom_and_jerry/tom/frame2249.jpg,tom,44,pocetku,daleko,tom,neither,False
frame2700.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2700.jpg,jerry,54,pocetku,blizu,jerry,jerry,True
frame2701.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2701.jpg,jerry,54,pocetku,blizu,jerry,jerry,True
frame2702.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2702.jpg,jerry,54,pocetku,blizu,jerry,jerry,True
frame2703.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2703.jpg,jerry,54,pocetku,blizu,jerry,jerry,True
frame2704.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2704.jpg,jerry,54,pocetku,blizu,jerry,jerry,True
frame2745.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2745.jpg,neither,54,pocetku,daleko,neither,neither,True
frame2746.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2746.jpg,neither,54,pocetku,daleko,neither,neither,True
frame2747.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2747.jpg,neither,54,pocetku,daleko,neither,neither,True
frame2748.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2748.jpg,neither,54,pocetku,daleko,neither,neither,True
frame2749.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2749.jpg,neither,54,pocetku,daleko,neither,neither,True
frame2745.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2745.jpg,neither,54,kraju,blizu,neither,neither,True
frame2746.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2746.jpg,neither,54,kraju,blizu,neither,neither,True
frame2747.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2747.jpg,neither,54,kraju,blizu,neither,neither,True
frame2748.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2748.jpg,neither,54,kraju,blizu,neither,neither,True
frame2749.jpg,../data/tom_and_jerry/tom_and_jerry/tom_jerry_0/frame2749.jpg,neither,54,kraju,blizu,neither,neither,True
frame2700.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2700.jpg,jerry,54,kraju,daleko,jerry,jerry,True
frame2701.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2701.jpg,jerry,54,kraju,daleko,jerry,jerry,True
frame2702.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2702.jpg,jerry,54,kraju,daleko,jerry,jerry,True
frame2703.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2703.jpg,jerry,54,kraju,daleko,jerry,jerry,True
frame2704.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame2704.jpg,jerry,54,kraju,daleko,jerry,jerry,True
frame3250.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame3250.jpg,jerry,65,pocetku,blizu,jerry,jerry,True
frame3251.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame3251.jpg,jerry,65,pocetku,blizu,jerry,jerry,True
frame3252.jpg,../data/tom_and_jerry/tom_and_jerry/jerry/frame3252.jpg,jerry,65,pocetku,blizu,jerry,jerry,True
