test_block,granica_na,tacnost_blizu,tacnost_daleko,razlika
11,kraju,1.0,1.0,0.0
11,pocetku,1.0,1.0,0.0
16,pocetku,0.8,1.0,-0.19999999999999996
18,kraju,1.0,1.0,0.0
31,kraju,1.0,0.4,0.6
31,pocetku,0.4,1.0,-0.6
33,kraju,0.8,0.8,0.0
33,pocetku,0.8,0.8,0.0
37,pocetku,1.0,1.0,0.0
44,pocetku,1.0,0.6,0.4
54,kraju,1.0,1.0,0.0
54,pocetku,1.0,1.0,0.0
65,kraju,1.0,1.0,0.0
65,pocetku,1.0,1.0,0.0
80,kraju,1.0,0.8,0.19999999999999996
84,kraju,1.0,1.0,0.0
84,pocetku,1.0,1.0,0.0
88,kraju,1.0,1.0,0.0
88,pocetku,1.0,1.0,0.0
90,kraju,1.0,1.0,0.0
90,pocetku,1.0,1.0,0.0
96,kraju,1.0,0.6,0.4
96,pocetku,0.6,1.0,-0.4
103,pocetku,1.0,1.0,0.0
